sample  location    condition
BB90_1  BB36A645FM90    BB_90
BB90_2  BB36A736FM90    BB_90
BB90_3  BB36C089FM90    BB_90
1746-60_1  SS17_46168712FM60    SS17_60
1746-60_2  SS17_46168963FM60    SS17_60
1746-90_1  SS17_4618C824FM90    SS17_90
1746-90_2  SS17_4618C830FM90    SS17_90
4550-60_1  SS45_5016A349FM60    SS45_60
4550-60_2  SS45_5016A391FM60   SS45_60
